0.0,0
1.0,1
2.0,2
3.0,3
4.0,4
5.0,5
6.0,6
7.0,7
8.0,8
9.0,9
10.0,10
11.0,11
12.0,12
13.0,13
14.0,14
15.0,15
15.5,16
16.0,17
16.5,18
17.0,19
17.5,20
18.0,21
18.5,22
19.0,23
19.5,24
20.0,25
20.5,26
21.0,27
21.5,28
22.0,29
22.5,30
22.875,31
23.25,32
23.625,33
24.0,34
24.375,35
24.75,36
25.125,37
25.5,38
25.875,39
26.25,40
26.625,41
27.0,42
27.375,43
27.75,44
28.125,45
28.392,46
28.704,47
29.016,48
29.328,49
29.64,50
29.951999999999998,51
30.264,52
30.576,53
30.888,54
31.2,55
31.512,56
31.824,57
32.136,58
32.448,59
32.76,60
33.033,61
33.306000000000004,62
33.579,63
33.852000000000004,64
34.125,65
34.398,66
34.671,67
34.944,68
35.217000000000006,69
35.49,70
35.763000000000005,71
36.036,72
36.309000000000005,73
36.582,74
36.855000000000004,75
36.995,76
37.24,77
37.485,78
37.73,79
37.975,80
38.22,81
38.464999999999996,82
38.71,83
38.955,84
39.2,85
39.445,86
39.69,87
39.935,88
40.18,89
40.425,90
40.67,91
40.915,92
41.16,93
41.405,94
41.65,95
41.894999999999996,96
42.14,97
42.385,98
42.63,99
